code,bps_code,name,regency_code
11.09.07,1101010,TEUPAH SELATAN,11.09
11.09.04,1101020,SIMEULUE TIMUR,11.09
11.09.03,1101021,TEUPAH BARAT,11.09
11.09.09,1101022,TEUPAH TENGAH,11.09
11.09.01,1101030,SIMEULUE TENGAH,11.09
11.09.05,1101031,TELUK DALAM,11.09
11.09.10,1101032,SIMEULUE CUT,11.09
11.09.02,1101040,SALANG,11.09
11.09.06,1101050,SIMEULUE BARAT,11.09
11.09.08,1101051,ALAFAN,11.09
11.10.01,1102010,PULAU BANYAK,11.10
11.10.16,1102011,PULAU BANYAK BARAT,11.10
11.10.04,1102020,SINGKIL,11.10
11.10.10,1102021,SINGKIL UTARA,11.10
11.10.14,1102022,KUALA BARU,11.10
11.10.02,1102030,SIMPANG KANAN,11.10
11.10.06,1102031,GUNUNG MERIAH,11.10
11.10.11,1102032,DANAU PARIS,11.10
11.10.12,1102033,SURO MAKMUR,11.10
11.10.13,1102042,SINGKOHOR,11.10
11.10.09,1102043,KOTA BAHARU,11.10
11.01.09,1103010,TRUMON,11.01
11.01.16,1103011,TRUMON TIMUR,11.01
11.01.18,1103012,TRUMON TENGAH,11.01
11.01.01,1103020,BAKONGAN,11.01
11.01.15,1103021,BAKONGAN TIMUR,11.01
11.01.17,1103022,KOTA BAHAGIA,11.01
11.01.03,1103030,KLUET SELATAN,11.01
11.01.14,1103031,KLUET TIMUR,11.01
11.01.02,1103040,KLUET UTARA,11.01
11.01.10,1103041,PASIE RAJA,11.01
11.01.13,1103042,KLUET TENGAH,11.01
11.01.08,1103050,TAPAKTUAN,11.01
11.01.06,1103060,SAMADUA,11.01
11.01.07,1103070,SAWANG,11.01
11.01.05,1103080,MEUKEK,11.01
11.01.04,1103090,LABUHANHAJI,11.01
11.01.11,1103091,LABUHANHAJI TIMUR,11.01
11.01.12,1103092,LABUHANHAJI BARAT,11.01
11.02.01,1104010,LAWE ALAS,11.02
11.02.11,1104011,BABUL RAHMAH,11.02
11.02.15,1104012,TANOH ALAS,11.02
11.02.02,1104020,LAWE SIGALA-GALA,11.02
11.02.06,1104021,BABUL MAKMUR,11.02
11.02.10,1104022,SEMADAM,11.02
11.02.16,1104023,LEUSER,11.02
11.02.03,1104030,BAMBEL,11.02
11.02.09,1104031,BUKIT TUSAM,11.02
11.02.14,1104032,LAWE SUMUR,11.02
11.02.04,1104040,BABUSSALAM,11.02
11.02.08,1104041,LAWE BULAN,11.02
11.02.05,1104050,BADAR,11.02
11.02.07,1104051,DARUL HASANAH,11.02
11.02.12,1104052,KETAMBE,11.02
11.02.13,1104053,DELENG POKHKISEN,11.02
11.03.05,1105080,SERBAJADI,11.03
11.03.20,1105081,SIMPANG JERNIH,11.03
11.03.24,1105082,PEUNARON,11.03
11.03.04,1105090,BIREM BAYEUN,11.03
11.03.08,1105100,RANTAU SELAMAT,11.03
11.03.19,1105101,SUNGAI RAYA,11.03
11.03.07,1105110,PEUREULAK,11.03
11.03.17,1105111,PEUREULAK TIMUR,11.03
11.03.18,1105112,PEUREULAK BARAT,11.03
11.03.10,1105120,RANTO PEUREULAK,11.03
11.03.03,1105130,IDI RAYEUK,11.03
11.03.16,1105131,PEUDAWA,11.03
11.03.15,1105132,BANDA ALAM,11.03
11.03.14,1105133,IDI TUNONG,11.03
11.03.21,1105134,DARUL IHSAN,11.03
11.03.23,1105135,IDI TIMUR,11.03
11.03.01,1105140,DARUL AMAN,11.03
11.03.06,1105150,NURUSSALAM,11.03
11.03.22,1105151,DARUL FALAH,11.03
11.03.02,1105160,JULOK,11.03
11.03.13,1105161,INDRA MAKMU,11.03
11.03.11,1105170,PANTE BIDARI,11.03
11.03.09,1105180,SIMPANG ULIM,11.03
11.03.12,1105181,MADAT,11.03
11.04.01,1106010,LINGE,11.04
11.04.18,1106011,ATU LINTANG,11.04
11.04.19,1106012,JAGONG JEGET,11.04
11.04.08,1106020,BINTANG,11.04
11.04.17,1106031,LAUT TAWAR,11.04
11.04.11,1106032,KEBAYAKAN,11.04
11.04.07,1106040,PEGASING,11.04
11.04.20,1106041,BIES,11.04
11.04.03,1106050,BEBESEN,11.04
11.04.12,1106051,KUTE PANANG,11.04
