code,bps_code,name,province_code
11.09,1101,KAB. SIMEULUE,11
11.10,1102,KAB. ACEH SINGKIL,11
11.01,1103,KAB. ACEH SELATAN,11
11.02,1104,KAB. ACEH TENGGARA,11
11.03,1105,KAB. ACEH TIMUR,11
11.04,1106,KAB. ACEH TENGAH,11
11.05,1107,KAB. ACEH BARAT,11
11.06,1108,KAB. ACEH BESAR,11
11.07,1109,KAB. PIDIE,11
11.11,1110,KAB. BIREUEN,11
11.08,1111,KAB. ACEH UTARA,11
11.12,1112,KAB. ACEH BARAT DAYA,11
11.13,1113,KAB. GAYO LUES,11
11.16,1114,KAB. ACEH TAMIANG,11
11.15,1115,KAB. NAGAN RAYA,11
11.14,1116,KAB. ACEH JAYA,11
11.17,1117,KAB. BENER MERIAH,11
11.18,1118,KAB. PIDIE JAYA,11
11.71,1171,KOTA BANDA ACEH,11
11.72,1172,KOTA SABANG,11
11.74,1173,KOTA LANGSA,11
11.73,1174,KOTA LHOKSEUMAWE,11
11.75,1175,KOTA SUBULUSSALAM,11
12.04,1201,KAB. NIAS,12
12.13,1202,KAB. MANDAILING NATAL,12
12.03,1203,KAB. TAPANULI SELATAN,12
12.01,1204,KAB. TAPANULI TENGAH,12
12.02,1205,KAB. TAPANULI UTARA,12
12.12,1206,KAB. TOBA SAMOSIR,12
12.10,1207,KAB. LABUHANBATU,12
12.09,1208,KAB. ASAHAN,12
12.08,1209,KAB. SIMALUNGUN,12
12.11,1210,KAB. DAIRI,12
12.06,1211,KAB. KARO,12
12.07,1212,KAB. DELI SERDANG,12
12.05,1213,KAB. LANGKAT,12
12.14,1214,KAB. NIAS SELATAN,12
12.16,1215,KAB. HUMBANG HASUNDUTAN,12
12.15,1216,KAB. PAKPAK BHARAT,12
12.17,1217,KAB. SAMOSIR,12
12.18,1218,KAB. SERDANG BEDAGAI,12
12.19,1219,KAB. BATU BARA,12
12.20,1220,KAB. PADANG LAWAS UTARA,12
12.21,1221,KAB. PADANG LAWAS,12
12.22,1222,KAB. LABUHANBATU SELATAN,12
12.23,1223,KAB. LABUHANBATU UTARA,12
12.24,1224,KAB. NIAS UTARA,12
12.25,1225,KAB. NIAS BARAT,12
12.73,1271,KOTA SIBOLGA,12
12.74,1272,KOTA TANJUNG BALAI,12
12.72,1273,KOTA PEMATANGSIANTAR,12
12.76,1274,KOTA TEBING TINGGI,12
12.71,1275,KOTA MEDAN,12
12.75,1276,KOTA BINJAI,12
12.77,1277,KOTA PADANG SIDEMPUAN,12
12.78,1278,KOTA GUNUNGSITOLI,12
13.09,1301,KAB. KEPULAUAN MENTAWAI,13
13.01,1302,KAB. PESISIR SELATAN,13
13.02,1303,KAB. SOLOK,13
13.03,1304,KAB. SIJUNJUNG,13
13.04,1305,KAB. TANAH DATAR,13
13.05,1306,KAB. PADANG PARIAMAN,13
13.06,1307,KAB. AGAM,13
13.07,1308,KAB. LIMA PULUH KOTA,13
13.08,1309,KAB. PASAMAN,13
13.11,1310,KAB. SOLOK SELATAN,13
13.10,1311,KAB. DHARMASRAYA,13
13.12,1312,KAB. PASAMAN BARAT,13
13.71,1371,KOTA PADANG,13
13.72,1372,KOTA SOLOK,13
13.73,1373,KOTA SAWAHLUNTO,13
13.74,1374,KOTA PADANG PANJANG,13
13.75,1375,KOTA BUKITTINGGI,13
13.76,1376,KOTA PAYAKUMBUH,13
13.77,1377,KOTA PARIAMAN,13
14.09,1401,KAB. KUANTAN SINGINGI,14
14.02,1402,KAB. INDRAGIRI HULU,14
14.04,1403,KAB. INDRAGIRI HILIR,14
14.05,1404,KAB.  PELALAWAN,14
14.08,1405,KAB. SIAK,14
14.01,1406,KAB. KAMPAR,14
14.06,1407,KAB.  ROKAN HULU,14
14.03,1408,KAB. BENGKALIS,14
14.07,1409,KAB.  ROKAN HILIR,14
14.10,1410,KAB. KEPULAUAN MERANTI,14
14.71,1471,KOTA PEKANBARU,14
14.72,1473,KOTA DUMAI,14
15.01,1501,KAB.  KERINCI,15
15.02,1502,KAB.  MERANGIN,15
15.03,1503,KAB. SAROLANGUN,15
