code,bps_code,name,district_code
32.01.21.2001,3201010001,MALASARI,32.01.21
32.01.21.2004,3201010002,BANTARKARET,32.01.21
32.01.21.2003,3201010003,CISARUA,32.01.21
32.01.21.2002,3201010004,CURUGBITUNG,32.01.21
32.01.21.2007,3201010005,NANGGUNG,32.01.21
32.01.21.2009,3201010006,PANGKALJAYA,32.01.21
32.01.21.2010,3201010007,SUKALUYU,32.01.21
32.01.21.2005,3201010008,HAMBARO,32.01.21
32.01.21.2006,3201010009,KALONGLIUD,32.01.21
32.01.21.2008,3201010010,PARAKANMUNCANG,32.01.21
32.01.21.2011,3201010011,BATU TULIS,32.01.21
32.01.14.2002,3201020001,PURASARI,32.01.14
32.01.14.2008,3201020002,PURASEDA,32.01.14
32.01.14.2003,3201020003,KARYASARI,32.01.14
32.01.14.2004,3201020004,PABANGBON,32.01.14
32.01.14.2005,3201020005,KARACAK,32.01.14
32.01.14.2006,3201020006,BARENGKOK,32.01.14
32.01.14.2010,3201020007,CIBEBER II,32.01.14
32.01.14.2009,3201020016,CIBEBER I,32.01.14
32.01.14.2007,3201020017,LEUWIMEKAR,32.01.14
32.01.14.2001,3201020018,LEUWILIANG,32.01.14
32.01.14.2011,3201020019,KAREHKEL,32.01.14
32.01.39.2004,3201021001,WANGUNJAYA,32.01.39
32.01.39.2003,3201021002,SADENGKOLOT,32.01.39
32.01.39.2001,3201021003,LEUWISADENG,32.01.39
32.01.39.2008,3201021004,SIBANTENG,32.01.39
32.01.39.2002,3201021005,BABAKAN SADENG,32.01.39
32.01.39.2007,3201021006,SADENG,32.01.39
32.01.39.2006,3201021007,KALONG II,32.01.39
32.01.39.2005,3201021008,KALONG I,32.01.39
32.01.17.2002,3201030001,CIBUNIAN,32.01.17
32.01.17.2001,3201030002,PURWABAKTI,32.01.17
32.01.17.2015,3201030003,CIASMARA,32.01.17
32.01.17.2013,3201030004,CIASIHAN,32.01.17
32.01.17.2014,3201030005,GUNUNG SARI,32.01.17
